jsonkey_identifier	rdfs:type	schema:name	schema:description	dcterms:creator	schema:image	schema:geo
TX_MOD_45	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=45	1120950_LOCAL STREETS	This is route ID 1120950 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_46	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=46	1130284_LOCAL STREETS	This is route ID 1130284 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_47	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=47	1126430_LOCAL STREETS	This is route ID 1126430 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_48	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=48	1123311_LOCAL STREETS	This is route ID 1123311 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_49	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=49	1132228_LOCAL STREETS	This is route ID 1132228 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_50	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=50	1126159_LOCAL STREETS	This is route ID 1126159 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_51	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=51	1128901_LOCAL STREETS	This is route ID 1128901 with Threatened status	Floodcast_Dewberry	NA	NA
TX_MOD_52	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=52	257397_FUNCTIONALLY CLASSIFIED CITY STREETS	This is route ID 257397 with Threatened status	Floodcast_Dewberry	NA	NA
TX_MOD_53	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=53	1128158_LOCAL STREETS	This is route ID 1128158 with Threatened status	Floodcast_Dewberry	NA	NA
TX_MOD_54	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=54	257397_FUNCTIONALLY CLASSIFIED CITY STREETS	This is route ID 257397 with Threatened status	Floodcast_Dewberry	NA	NA
