"jsonkey_statid"	"rdfs:type"	"schema:name"	"schema:description"	"schema:sameAs"	"schema:image"
"1981_795_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_796_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_797_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_798_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_799_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_800_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_801_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_802_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_803_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_804_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_805_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_806_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_807_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_808_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_809_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_810_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_811_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_812_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_813_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_814_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_816_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_817_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_818_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_819_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_820_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1981_821_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
